"","ntdid","name","city","state","zip","GEOID.msa","GEOID.tract","year","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery","geometry"
"146","0022","City of Pocatello - Pocatello Regional Transit",NA,NA,NA,NA,NA,2011,2445986,825503,53341,475090,136282,15.4759565812414,0.286855122187375,0.0557165903647854,c(NA, NA)
"147","0022","City of Pocatello - Pocatello Regional Transit",NA,NA,NA,NA,NA,2012,2466395,802366,53686,435790,131367,14.9455351488284,0.301445650427958,0.0532627579929411,c(NA, NA)
"148","0022","City of Pocatello - Pocatello Regional Transit",NA,NA,NA,NA,NA,2013,5286912,823858,54796,422861,137545,15.035002554931,0.325272370826347,0.0260161319121635,c(NA, NA)
"149","0022","City of Pocatello - Pocatello Regional Transit",NA,NA,NA,NA,NA,2014,2681856,NA,NA,393939,126735,NA,0.321712244789168,0.0472564522479954,c(NA, NA)
"150","0022","City of Pocatello - Pocatello Regional Transit",NA,NA,NA,NA,NA,2015,2920578,770856,50604,335268,NA,15.2331041024425,NA,NA,c(NA, NA)
"151","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2006,320558,3416,549,239726,370558,6.22222222222222,1.5457564052293,1.15597801333924,c(-122.3456919, 47.6288591)
"152","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2007,2530405,44164,5068,1589065,2735891,8.71428571428571,1.72169860893041,1.08120676334421,c(-122.3456919, 47.6288591)
"153","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2008,2273249,46698,5068,1559792,2707888,9.21428571428571,1.73605711530768,1.19119726875498,c(-122.3456919, 47.6288591)
"154","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2009,2554378,49621,5082,1732301,2950195,9.76406926406926,1.70304987412696,1.15495631421818,c(-122.3456919, 47.6288591)
"155","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2010,2709895,50439,5068,1789137,3053436,9.95244672454617,1.70665298409233,1.12677280854055,c(-122.3456919, 47.6288591)
"156","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2011,2893562,54673,5538,1890867,3307997,9.87233658360419,1.74946043270098,1.14322658370548,c(-122.3456919, 47.6288591)
"157","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2012,6794590,219438,21334,2106846,4074219,10.2858348176619,1.93380009739677,0.599626909055587,c(-122.3456919, 47.6288591)
"158","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2013,6648780,223612,21618,2092673,3991266,10.3437875844204,1.90725736892482,0.600300506258291,c(-122.3456919, 47.6288591)
"159","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2014,6534638,55725,5377,2162624,4110232,10.3635856425516,1.90057633689444,0.628991537098153,c(-122.3456919, 47.6288591)
"160","0023","City of Seattle - Seattle Center Monorail Transit","Seattle","WA",98109,"42660","53033006700",2015,2554378,229219,21462,2292953,4334884,10.6802255148635,1.89052457682299,1.69704092346552,c(-122.3456919, 47.6288591)
"161","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2006,27864524,4866777,308358,5647840,5060166,15.7828789913023,0.895947123147965,0.181598867434448,c(-122.6234603, 45.6405989)
"162","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2007,31488473,5113510,329096,5736915,5580408,15.5380496876291,0.972719309942713,0.177220661033642,c(-122.6234603, 45.6405989)
"163","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2008,45399294,5825098,367238,7230617,6613087,15.8619151612851,0.914595116848258,0.145664974437708,c(-122.6234603, 45.6405989)
"164","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2009,43966289,5606108,358948,6430633,6938258,15.6181619621784,1.07893857416525,0.157808588302733,c(-122.6234603, 45.6405989)
"165","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2010,43542535,5263060,339378,6552570,7177150,15.507958677345,1.09531832548145,0.164830779834017,c(-122.6234603, 45.6405989)
"166","0024","Clark County Public Transportation Benefit Area Authority","Vancouver","WA",98668,"38900","53011041600",2011,45207490,5277274,338267,6958604,7692735,15.6009128883397,1.10549975253657,0.170165054507561,c(-122.6234603, 45.6405989)
