ntdid,name,mode,tos,exp_type,total
0001,NA,CB,PT,Vehicle Operations                                ,25853310
0001,NA,CB,PT,Vehicle Maintenance                               ,9433751
0001,NA,CB,PT,Non-Vehicle Maintenance                           ,1577955
0001,NA,CB,PT,General Administration                            ,4285793
0001,NA,CB,PT,Total                                             ,0
0001,NA,DR,PT,Vehicle Operations                                ,30592149
0001,NA,DR,PT,Vehicle Maintenance                               ,6694801
0001,NA,DR,PT,Non-Vehicle Maintenance                           ,670107
0001,NA,DR,PT,General Administration                            ,20488144
0001,NA,DR,PT,Total                                             ,58445201
0001,NA,DT,PT,Vehicle Operations                                ,351482
0001,NA,DT,PT,Vehicle Maintenance                               ,88012
0001,NA,DT,PT,Non-Vehicle Maintenance                           ,8710
0001,NA,DT,PT,General Administration                            ,191640
0001,NA,DT,PT,Total                                             ,369712
0001,NA,LR,PT,Vehicle Operations                                ,10894456
0001,NA,LR,PT,Vehicle Maintenance                               ,3966175
0001,NA,LR,PT,Non-Vehicle Maintenance                           ,7802183
0001,NA,LR,PT,General Administration                            ,2019420
0001,NA,LR,PT,Total                                             ,0
0001,NA,MB,DO,Vehicle Operations                                ,232777136
0001,NA,MB,DO,Vehicle Maintenance                               ,66897606
0001,NA,MB,DO,Non-Vehicle Maintenance                           ,19056875
0001,NA,MB,DO,General Administration                            ,62211644
0001,NA,MB,DO,Total                                             ,0
0001,NA,MB,PT,Vehicle Operations                                ,4708111
0001,NA,MB,PT,Vehicle Maintenance                               ,636947
0001,NA,MB,PT,Non-Vehicle Maintenance                           ,421894
0001,NA,MB,PT,General Administration                            ,2042199
0001,NA,MB,PT,Total                                             ,0
0001,NA,RB,DO,Vehicle Operations                                ,6958656
0001,NA,RB,DO,Vehicle Maintenance                               ,2278715
0001,NA,RB,DO,Non-Vehicle Maintenance                           ,467614
0001,NA,RB,DO,General Administration                            ,2020050
0001,NA,RB,DO,Total                                             ,0
0001,NA,SR,DO,Vehicle Operations                                ,1286199
0001,NA,SR,DO,Vehicle Maintenance                               ,371842
0001,NA,SR,DO,Non-Vehicle Maintenance                           ,172515
0001,NA,SR,DO,General Administration                            ,566086
0001,NA,SR,DO,Total                                             ,0
0001,NA,TB,DO,Vehicle Operations                                ,30701156
0001,NA,TB,DO,Vehicle Maintenance                               ,10266236
0001,NA,TB,DO,Non-Vehicle Maintenance                           ,6725681
0001,NA,TB,DO,General Administration                            ,9036867
0001,NA,TB,DO,Total                                             ,0
0001,NA,VP,DO,Vehicle Operations                                ,2999557
0001,NA,VP,DO,Vehicle Maintenance                               ,1899536
0001,NA,VP,DO,Non-Vehicle Maintenance                           ,62485
0001,NA,VP,DO,General Administration                            ,4995190
0001,NA,VP,DO,Total                                             ,0
0002,NA,DR,DO,Vehicle Operations                                ,5364179
0002,NA,DR,DO,Vehicle Maintenance                               ,1028420
0002,NA,DR,DO,Non-Vehicle Maintenance                           ,130054
0002,NA,DR,DO,General Administration                            ,1388317
0002,NA,DR,DO,Total                                             ,7910970
0002,NA,DR,PT,Vehicle Operations                                ,3286790
0002,NA,DR,PT,Vehicle Maintenance                               ,106592
0002,NA,DR,PT,Non-Vehicle Maintenance                           ,95932
0002,NA,DR,PT,General Administration                            ,204117
0002,NA,DR,PT,Total                                             ,3693431
0002,NA,MB,DO,Vehicle Operations                                ,26687855
0002,NA,MB,DO,Vehicle Maintenance                               ,6290984
0002,NA,MB,DO,Non-Vehicle Maintenance                           ,2491242
0002,NA,MB,DO,General Administration                            ,7826128
0002,NA,MB,DO,Total                                             ,0
0002,NA,VP,DO,Vehicle Operations                                ,303569
0002,NA,VP,DO,Vehicle Maintenance                               ,80241
0002,NA,VP,DO,Non-Vehicle Maintenance                           ,8174
0002,NA,VP,DO,General Administration                            ,338328
0002,NA,VP,DO,Total                                             ,0
0003,NA,CB,PT,Vehicle Operations                                ,19637457
0003,NA,CB,PT,Vehicle Maintenance                               ,7010602
0003,NA,CB,PT,Non-Vehicle Maintenance                           ,347137
0003,NA,CB,PT,General Administration                            ,3322177
0003,NA,CB,PT,Total                                             ,0
0003,NA,DR,DO,Vehicle Operations                                ,3871335
0003,NA,DR,DO,Vehicle Maintenance                               ,574625
0003,NA,DR,DO,Non-Vehicle Maintenance                           ,64291
0003,NA,DR,DO,General Administration                            ,1780599
0003,NA,DR,DO,Total                                             ,6290850
0003,NA,DR,PT,Vehicle Operations                                ,7606079
0003,NA,DR,PT,Vehicle Maintenance                               ,1339618
0003,NA,DR,PT,Non-Vehicle Maintenance                           ,291417
0003,NA,DR,PT,General Administration                            ,2985969
0003,NA,DR,PT,Total                                             ,12223083
0003,NA,MB,DO,Vehicle Operations                                ,42156616
0003,NA,MB,DO,Vehicle Maintenance                               ,8449943
0003,NA,MB,DO,Non-Vehicle Maintenance                           ,2726306
0003,NA,MB,DO,General Administration                            ,13922274
0003,NA,MB,DO,Total                                             ,0
0003,NA,VP,DO,Vehicle Operations                                ,2579388
0003,NA,VP,DO,Vehicle Maintenance                               ,799764
0003,NA,VP,DO,Non-Vehicle Maintenance                           ,134622
0003,NA,VP,DO,General Administration                            ,1121012
0003,NA,VP,DO,Total                                             ,0
0005,NA,DR,DO,Vehicle Operations                                ,3016953
0005,NA,DR,DO,Vehicle Maintenance                               ,477938
0005,NA,DR,DO,Non-Vehicle Maintenance                           ,98768
0005,NA,DR,DO,General Administration                            ,938177
0005,NA,DR,DO,Total                                             ,4395881
0005,NA,MB,DO,Vehicle Operations                                ,7889405
0005,NA,MB,DO,Vehicle Maintenance                               ,1562412
0005,NA,MB,DO,Non-Vehicle Maintenance                           ,582522
0005,NA,MB,DO,General Administration                            ,3763670
0005,NA,MB,DO,Total                                             ,0
0006,NA,DR,PT,Vehicle Operations                                ,747891
0006,NA,DR,PT,Vehicle Maintenance                               ,180821
0006,NA,DR,PT,Non-Vehicle Maintenance                           ,37294
0006,NA,DR,PT,General Administration                            ,339383
0006,NA,DR,PT,Total                                             ,1305389
0006,NA,MB,DO,Vehicle Operations                                ,3774552
0006,NA,MB,DO,Vehicle Maintenance                               ,1203467
0006,NA,MB,DO,Non-Vehicle Maintenance                           ,60970
0006,NA,MB,DO,General Administration                            ,790552
0006,NA,MB,DO,Total                                             ,0
0006,NA,VP,DO,Vehicle Operations                                ,205508
0006,NA,VP,DO,Vehicle Maintenance                               ,149344
0006,NA,VP,DO,Non-Vehicle Maintenance                           ,5967
0006,NA,VP,DO,General Administration                            ,36645
0006,NA,VP,DO,Total                                             ,0
0007,NA,DR,PT,Vehicle Operations                                ,3654132
0007,NA,DR,PT,Vehicle Maintenance                               ,250941
0007,NA,DR,PT,Non-Vehicle Maintenance                           ,21252
0007,NA,DR,PT,General Administration                            ,892177
0007,NA,DR,PT,Total                                             ,3949947
0007,NA,DT,PT,Vehicle Operations                                ,1354141
