ntdid,name,mode,tos,exp_type,total
0001,NA,MB,PT,General Administration,"$5,819,430 "
0001,NA,MB,DO,Vehicle Operations,"$205,358,308 "
0001,NA,MB,PT,Vehicle Maintenance,"$8,180,788 "
0001,NA,MB,PT,Vehicle Operations,"$27,533,095 "
0001,NA,DR,PT,General Administration,"$9,721,522 "
0001,NA,DR,PT,Non-Vehicle Maintenance,"$755,692 "
0001,NA,DR,PT,Vehicle Maintenance,"$3,022,765 "
0001,NA,DR,PT,Vehicle Operations,"$34,432,659 "
0001,NA,VP,DO,General Administration,"$4,827,805 "
0001,NA,VP,DO,Non-Vehicle Maintenance,$0 
0001,NA,VP,DO,Vehicle Maintenance,"$1,350,202 "
0001,NA,VP,DO,Vehicle Operations,"$2,053,528 "
0001,NA,TB,DO,General Administration,"$9,462,698 "
0001,NA,TB,DO,Non-Vehicle Maintenance,"$6,106,147 "
0001,NA,TB,DO,Vehicle Maintenance,"$10,946,317 "
0001,NA,TB,DO,Vehicle Operations,"$26,951,768 "
0001,NA,MB,DO,General Administration,"$61,935,486 "
0001,NA,MB,DO,Non-Vehicle Maintenance,"$17,200,475 "
0001,NA,MB,DO,Vehicle Maintenance,"$60,425,945 "
0001,NA,MB,PT,Non-Vehicle Maintenance,"$1,435,054 "
0002,NA,DR,PT,General Administration,"$148,844 "
0002,NA,DR,PT,Non-Vehicle Maintenance,"$100,973 "
0002,NA,DR,PT,Vehicle Maintenance,"$112,193 "
0002,NA,DR,PT,Vehicle Operations,"$3,447,121 "
0002,NA,VP,DO,General Administration,"$250,447 "
0002,NA,VP,DO,Non-Vehicle Maintenance,"$5,265 "
0002,NA,VP,DO,Vehicle Maintenance,"$47,796 "
0002,NA,VP,DO,Vehicle Operations,"$181,833 "
0002,NA,MB,DO,General Administration,"$6,798,578 "
0002,NA,MB,DO,Non-Vehicle Maintenance,"$2,044,494 "
0002,NA,MB,DO,Vehicle Maintenance,"$5,463,833 "
0002,NA,MB,DO,Vehicle Operations,"$22,998,998 "
0002,NA,DR,DO,General Administration,"$1,362,868 "
0002,NA,DR,DO,Non-Vehicle Maintenance,"$118,117 "
0002,NA,DR,DO,Vehicle Maintenance,"$651,472 "
0002,NA,DR,DO,Vehicle Operations,"$4,948,740 "
0003,NA,MB,PT,General Administration,"$2,510,183 "
0003,NA,DR,PT,Vehicle Operations,"$6,326,313 "
0003,NA,MB,PT,Vehicle Maintenance,"$3,563,327 "
0003,NA,MB,PT,Vehicle Operations,"$10,097,128 "
0003,NA,DR,PT,General Administration,"$3,230,167 "
0003,NA,DR,PT,Non-Vehicle Maintenance,"$104,649 "
0003,NA,DR,PT,Vehicle Maintenance,"$727,558 "
0003,NA,MB,DO,Vehicle Operations,"$37,590,499 "
0003,NA,MB,DO,Vehicle Maintenance,"$8,313,258 "
0003,NA,MB,DO,Non-Vehicle Maintenance,"$3,837,240 "
0003,NA,MB,DO,General Administration,"$11,341,333 "
0003,NA,VP,DO,Vehicle Operations,"$1,989,590 "
0003,NA,DR,DO,Vehicle Operations,"$3,827,511 "
0003,NA,DR,DO,Vehicle Maintenance,"$485,064 "
0003,NA,DR,DO,Non-Vehicle Maintenance,"$78,764 "
0003,NA,DR,DO,General Administration,"$1,027,479 "
0003,NA,VP,DO,Vehicle Maintenance,"$532,296 "
0003,NA,VP,DO,Non-Vehicle Maintenance,"$165,351 "
0003,NA,VP,DO,General Administration,"$921,380 "
0003,NA,MB,PT,Non-Vehicle Maintenance,"$375,012 "
0005,NA,MB,DO,Vehicle Operations,"$6,209,297 "
0005,NA,MB,DO,Vehicle Maintenance,"$1,740,246 "
0005,NA,MB,DO,Non-Vehicle Maintenance,"$88,871 "
0005,NA,MB,DO,General Administration,"$4,238,862 "
0005,NA,DR,DO,Vehicle Maintenance,"$515,120 "
0005,NA,DR,DO,Vehicle Operations,"$2,480,571 "
0005,NA,DR,DO,General Administration,"$602,857 "
0005,NA,DR,DO,Non-Vehicle Maintenance,$0 
0006,NA,DR,PT,Vehicle Maintenance,"$160,767 "
0006,NA,DR,PT,Non-Vehicle Maintenance,"$33,450 "
0006,NA,DR,PT,General Administration,"$322,535 "
0006,NA,DR,PT,Vehicle Operations,"$631,586 "
0006,NA,MB,DO,Vehicle Operations,"$3,298,929 "
0006,NA,MB,DO,Vehicle Maintenance,"$931,869 "
0006,NA,MB,DO,Non-Vehicle Maintenance,$0 
0006,NA,MB,DO,General Administration,"$935,041 "
0006,NA,VP,DO,Vehicle Operations,"$83,203 "
0006,NA,VP,DO,Vehicle Maintenance,"$69,722 "
0006,NA,VP,DO,Non-Vehicle Maintenance,$0 
0006,NA,VP,DO,General Administration,"$44,551 "
0007,NA,MB,DO,Vehicle Operations,"$18,590,173 "
0007,NA,DR,PT,Vehicle Operations,"$2,253,323 "
0007,NA,DR,PT,Vehicle Maintenance,"$172,859 "
0007,NA,DR,PT,Non-Vehicle Maintenance,"$8,820 "
0007,NA,DR,PT,General Administration,"$698,937 "
0007,NA,VP,PT,Vehicle Operations,"$11,731 "
0007,NA,VP,PT,Vehicle Maintenance,"$1,530 "
0007,NA,VP,PT,Non-Vehicle Maintenance,$0 
0007,NA,VP,PT,General Administration,"$27,612 "
0007,NA,MB,DO,General Administration,"$5,261,760 "
0007,NA,MB,DO,Non-Vehicle Maintenance,"$1,253,456 "
0007,NA,MB,DO,Vehicle Maintenance,"$4,355,889 "
0008,NA,LR,DO,Vehicle Operations,"$25,958,428 "
0008,NA,DR,PT,General Administration,"$5,429,823 "
0008,NA,DR,PT,Non-Vehicle Maintenance,$0 
0008,NA,DR,PT,Vehicle Maintenance,"$1,992,203 "
0008,NA,DR,PT,Vehicle Operations,"$21,560,649 "
0008,NA,LR,DO,Vehicle Maintenance,"$15,091,287 "
0008,NA,MB,DO,Non-Vehicle Maintenance,"$6,082,112 "
0008,NA,MB,DO,Vehicle Maintenance,"$36,138,581 "
0008,NA,MB,DO,Vehicle Operations,"$128,006,535 "
0008,NA,LR,DO,General Administration,"$16,391,168 "
0008,NA,LR,DO,Non-Vehicle Maintenance,"$16,215,291 "
0008,NA,MB,DO,General Administration,"$37,474,037 "
0011,NA,MB,PT,Vehicle Maintenance,"$250,049 "
0011,NA,MB,DO,Vehicle Operations,"$2,810,897 "
0011,NA,MB,PT,General Administration,"$207,398 "
0011,NA,MB,PT,Vehicle Operations,"$736,996 "
0011,NA,DR,PT,General Administration,"$36,017 "
0011,NA,DR,PT,Non-Vehicle Maintenance,$0 
0011,NA,DR,PT,Vehicle Maintenance,"$19,411 "
0011,NA,DR,PT,Vehicle Operations,"$73,832 "
0011,NA,MB,DO,General Administration,"$1,617,452 "
0011,NA,MB,DO,Non-Vehicle Maintenance,"$18,836 "
0011,NA,MB,DO,Vehicle Maintenance,"$1,113,178 "
0011,NA,DR,DO,Vehicle Operations,"$673,587 "
0011,NA,DR,DO,Vehicle Maintenance,"$172,774 "
