ntdid,name,mode,tos,exp_type,total
0001,NA,DR,PT,Vehicle Operations                                ,26527046
0001,NA,DR,PT,Vehicle Maintenance                               ,6031027
0001,NA,DR,PT,Non-Vehicle Maintenance                           ,34374
0001,NA,DR,PT,General Administration                            ,20159834
0001,NA,DR,PT,Total                                             ,51184377
0001,NA,LR,DO,Vehicle Operations                                ,1564250
0001,NA,LR,DO,Vehicle Maintenance                               ,363299
0001,NA,LR,DO,Non-Vehicle Maintenance                           ,311125
0001,NA,LR,DO,General Administration                            ,220961
0001,NA,LR,DO,Total                                             ,0
0001,NA,MB,PT,Vehicle Operations                                ,30776647
0001,NA,MB,DO,Vehicle Operations                                ,225348838
0001,NA,MB,PT,Vehicle Maintenance                               ,9085878
0001,NA,MB,DO,Vehicle Maintenance                               ,65548035
0001,NA,MB,PT,Non-Vehicle Maintenance                           ,1955759
0001,NA,MB,DO,Non-Vehicle Maintenance                           ,19577814
0001,NA,MB,PT,General Administration                            ,6509907
0001,NA,MB,DO,General Administration                            ,63426395
0001,NA,MB,PT,Total                                             ,0
0001,NA,MB,DO,Total                                             ,0
0001,NA,TB,DO,Vehicle Operations                                ,28762112
0001,NA,TB,DO,Vehicle Maintenance                               ,10192915
0001,NA,TB,DO,Non-Vehicle Maintenance                           ,6864482
0001,NA,TB,DO,General Administration                            ,9059352
0001,NA,TB,DO,Total                                             ,0
0001,NA,VP,DO,Vehicle Operations                                ,2647804
0001,NA,VP,DO,Vehicle Maintenance                               ,1537472
0001,NA,VP,DO,Non-Vehicle Maintenance                           ,73037
0001,NA,VP,DO,General Administration                            ,5493032
0001,NA,VP,DO,Total                                             ,0
0002,NA,DR,PT,Vehicle Operations                                ,3779646
0002,NA,DR,DO,Vehicle Operations                                ,5443666
0002,NA,DR,PT,Vehicle Maintenance                               ,123755
0002,NA,DR,DO,Vehicle Maintenance                               ,745287
0002,NA,DR,PT,Non-Vehicle Maintenance                           ,111380
0002,NA,DR,DO,Non-Vehicle Maintenance                           ,144517
0002,NA,DR,PT,General Administration                            ,164013
0002,NA,DR,DO,General Administration                            ,1449568
0002,NA,DR,DO,Total                                             ,7783038
0002,NA,DR,PT,Total                                             ,4178794
0002,NA,MB,DO,Vehicle Operations                                ,26463532
0002,NA,MB,DO,Vehicle Maintenance                               ,6789814
0002,NA,MB,DO,Non-Vehicle Maintenance                           ,2506634
0002,NA,MB,DO,General Administration                            ,7434347
0002,NA,MB,DO,Total                                             ,0
0002,NA,VP,DO,Vehicle Operations                                ,245589
0002,NA,VP,DO,Vehicle Maintenance                               ,59913
0002,NA,VP,DO,Non-Vehicle Maintenance                           ,7654
0002,NA,VP,DO,General Administration                            ,320242
0002,NA,VP,DO,Total                                             ,0
0003,NA,DR,DO,Vehicle Operations                                ,3834604
0003,NA,DR,PT,Vehicle Operations                                ,6171506
0003,NA,DR,PT,Vehicle Maintenance                               ,953016
0003,NA,DR,DO,Vehicle Maintenance                               ,873301
0003,NA,DR,DO,Non-Vehicle Maintenance                           ,78616
0003,NA,DR,PT,Non-Vehicle Maintenance                           ,112161
0003,NA,DR,DO,General Administration                            ,1616124
0003,NA,DR,PT,General Administration                            ,3997908
0003,NA,DR,DO,Total                                             ,6402645
0003,NA,DR,PT,Total                                             ,11234591
0003,NA,MB,DO,Vehicle Operations                                ,43021660
0003,NA,MB,PT,Vehicle Operations                                ,12298174
0003,NA,MB,PT,Vehicle Maintenance                               ,3303076
0003,NA,MB,DO,Vehicle Maintenance                               ,8296549
0003,NA,MB,DO,Non-Vehicle Maintenance                           ,4243266
0003,NA,MB,PT,Non-Vehicle Maintenance                           ,280991
0003,NA,MB,DO,General Administration                            ,13779113
0003,NA,MB,PT,General Administration                            ,2178386
0003,NA,MB,DO,Total                                             ,0
0003,NA,MB,PT,Total                                             ,0
0003,NA,VP,DO,Vehicle Operations                                ,2148824
0003,NA,VP,DO,Vehicle Maintenance                               ,917390
0003,NA,VP,DO,Non-Vehicle Maintenance                           ,218725
0003,NA,VP,DO,General Administration                            ,1004321
0003,NA,VP,DO,Total                                             ,0
0005,NA,DR,DO,Vehicle Operations                                ,2732549
0005,NA,DR,DO,Vehicle Maintenance                               ,387727
0005,NA,DR,DO,Non-Vehicle Maintenance                           ,0
0005,NA,DR,DO,General Administration                            ,773997
0005,NA,DR,DO,Total                                             ,3777446
0005,NA,MB,DO,Vehicle Operations                                ,7469374
0005,NA,MB,DO,Vehicle Maintenance                               ,1382637
0005,NA,MB,DO,Non-Vehicle Maintenance                           ,174870
0005,NA,MB,DO,General Administration                            ,3831837
0005,NA,MB,DO,Total                                             ,0
0006,NA,DR,PT,Vehicle Operations                                ,887665
0006,NA,DR,PT,Vehicle Maintenance                               ,207304
0006,NA,DR,PT,Non-Vehicle Maintenance                           ,36869
0006,NA,DR,PT,General Administration                            ,423969
0006,NA,DR,PT,Total                                             ,0
0006,NA,MB,DO,Vehicle Operations                                ,3681539
0006,NA,MB,DO,Vehicle Maintenance                               ,1145085
0006,NA,MB,DO,Non-Vehicle Maintenance                           ,60540
0006,NA,MB,DO,General Administration                            ,749590
0006,NA,MB,DO,Total                                             ,0
0006,NA,VP,DO,Vehicle Operations                                ,151616
0006,NA,VP,DO,Vehicle Maintenance                               ,105325
0006,NA,VP,DO,Non-Vehicle Maintenance                           ,3671
0006,NA,VP,DO,General Administration                            ,34643
0006,NA,VP,DO,Total                                             ,0
0007,NA,DR,PT,Vehicle Operations                                ,2616855
0007,NA,DR,PT,Vehicle Maintenance                               ,176840
0007,NA,DR,PT,Non-Vehicle Maintenance                           ,21315
