ntdid,year,mode,fares
0008,2013,MB,63818606
0008,2013,SR,363170
0008,2013,YR,467838
0008,2014,DR,5168822
0008,2014,DT,610351
0008,2014,LR,46404323
0008,2014,MB,65529184
0008,2014,SR,531922
0008,2014,YR,554133
0008,2015,DR,6737573
0008,2015,DT,867326
0008,2015,LR,46025815
0008,2015,MB,68567921
0008,2015,SR,498003
0008,2015,YR,522503
0011,2006,DR,67289
0011,2006,MB,639037
0011,2007,DR,77641
0011,2007,MB,698804
0011,2008,DR,80360
0011,2008,MB,882927
0011,2009,DR,73922
0011,2009,MB,895598
0011,2010,DR,68022
0011,2010,MB,894691
0011,2011,DR,79017
0011,2011,MB,893179
0011,2012,DR,84318
0011,2012,MB,862227
0011,2013,DR,86154
0011,2013,MB,906723
0011,2014,DR,93103
0011,2014,MB,877868
0011,2015,DR,88536
0011,2015,MB,931936
0012,2006,DR,851340
0012,2006,MB,3461154
0012,2006,VP,280639
0012,2007,DR,1053691
0012,2007,MB,3331361
0012,2007,VP,611177
0012,2008,DR,1302135
0012,2008,MB,3770857
0012,2008,VP,NA
0012,2009,DR,1570258
0012,2009,MB,3762970
0012,2009,VP,310798
0012,2010,DR,1538561
0012,2010,MB,3774194
0012,2010,VP,345266
0012,2011,DR,1736457
0012,2011,MB,4115324
0012,2011,VP,771522
0012,2012,DR,1676912
0012,2012,MB,4353774
0012,2012,VP,833383
0012,2013,DR,1237847
0012,2013,MB,4265961
0012,2013,VP,643117
0012,2014,DR,1245627
0012,2014,MB,4243486
0012,2014,VP,1595871
0012,2015,DR,1220138
0012,2015,MB,4191141
0012,2015,VP,1175529
0016,2006,DR,7707
0016,2006,MB,93844
0016,2007,DR,8821
0016,2007,MB,107533
0016,2008,DR,11631
0016,2008,MB,119890
0016,2009,DR,7265
0016,2009,MB,67993
0016,2010,DR,13892
0016,2010,MB,127443
0016,2011,DR,14572
0016,2011,MB,134864
0016,2012,DR,14996
0016,2012,MB,131217
0016,2013,DR,20288
0016,2013,MB,123942
0016,2014,DR,0
0016,2014,MB,121006
0016,2015,DR,14948
0016,2015,MB,133339
0018,2006,DR,334278
0018,2006,MB,708239
0018,2006,VP,1172849
0018,2007,DR,257241
0018,2007,MB,1013459
0018,2007,VP,1538866
0018,2008,DR,391739
0018,2008,MB,1125487
0018,2008,VP,2005830
0018,2009,DR,406293
0018,2009,MB,1194936
0018,2009,VP,2367733
0018,2010,DR,283742
0018,2010,DT,95299
0018,2010,MB,1303603
0018,2010,VP,2253987
0018,2011,DR,294818
0018,2011,DT,85402
0018,2011,MB,1374355
0018,2011,VP,2492744
0018,2012,DR,305352
0018,2012,DT,107822
0018,2012,MB,1376351
0018,2012,VP,2317843
0018,2013,DR,292419
0018,2013,DT,99954
0018,2013,MB,1277604
0018,2013,VP,2156253
0018,2014,DR,320745
0018,2014,DT,155724
0018,2014,MB,1461664
0018,2014,VP,2282102
0018,2015,DR,319935
0018,2015,DT,165741
0018,2015,MB,1285120
0018,2015,VP,2209862
0019,2006,DR,103356
0019,2006,MB,1482310
0019,2006,VP,770923
0019,2007,DR,113448
0019,2007,MB,1628735
0019,2007,VP,951969
0019,2008,DR,124936
0019,2008,MB,1850861
0019,2008,VP,1128136
0019,2009,DR,149473
0019,2009,MB,2306799
0019,2009,VP,1485139
0019,2010,DR,160737
0019,2010,MB,2414920
0019,2010,VP,1367099
0019,2011,DR,187415
0019,2011,MB,2381146
0019,2011,VP,1474232
0019,2012,CB,346848
0019,2012,DR,197789
0019,2012,MB,2194800
0019,2012,VP,1641547
0019,2013,CB,400116
0019,2013,DR,210126
0019,2013,MB,2463042
0019,2013,VP,1845933
0019,2014,CB,357524
0019,2014,DR,236646
0019,2014,MB,2608098
0019,2014,VP,1832856
0019,2015,CB,327286
0019,2015,DR,284661
0019,2015,MB,2475078
0019,2015,VP,1746164
0020,2006,DR,304433
0020,2006,FB,231064
0020,2006,MB,2657745
0020,2006,VP,543619
0020,2007,DR,319074
0020,2007,FB,238098
0020,2007,MB,2769629
0020,2007,VP,587281
0020,2008,DR,323069
0020,2008,FB,300442
0020,2008,MB,3414453
0020,2008,VP,646680
0020,2009,DR,349719
0020,2009,FB,548627
0020,2009,MB,4649636
0020,2009,VP,846431
0020,2010,DR,306714
0020,2010,DT,822
0020,2010,FB,751773
0020,2010,MB,5935508
0020,2010,VP,958583
0020,2011,DR,298238
0020,2011,DT,1595
0020,2011,FB,939122
0020,2011,MB,5758992
0020,2011,VP,924836
0020,2012,DR,294996
0020,2012,DT,822
0020,2012,FB,827536
0020,2012,MB,5314319
0020,2012,VP,740109
0020,2013,DR,298168
0020,2013,DT,248
0020,2013,FB,779834
0020,2013,MB,5145340
0020,2013,VP,589039
0020,2014,DR,295423
0020,2014,DT,284
0020,2014,FB,761800
0020,2014,MB,5027829
0020,2014,VP,646508
0020,2015,DR,372561
0020,2015,FB,834621
0020,2015,MB,4866090
0020,2015,VP,596936
0021,2006,DR,132890
0021,2006,MB,1013928
0021,2007,DR,142460
0021,2007,MB,1089636
0021,2008,DR,145018
0021,2008,MB,1273068
0021,2009,DR,159458
0021,2009,MB,1384476
0021,2009,VP,186338
0021,2010,DR,179176
0021,2010,DT,101
0021,2010,MB,1519401
0021,2010,VP,225127
0021,2011,DR,170743
0021,2011,DT,133
0021,2011,MB,1663823
0021,2011,VP,136742
0021,2012,DR,75953
0021,2012,DT,174
0021,2012,MB,1858288
0021,2012,VP,174801
0021,2013,DR,76441
0021,2013,DT,137
0021,2013,MB,1859314
0021,2013,VP,216962
0021,2014,DR,80929
0021,2014,DT,83
0021,2014,MB,1825001
0021,2014,VP,270074
0021,2015,DR,80336
0021,2015,DT,84
0021,2015,MB,1669332
0021,2015,VP,233308
0022,2006,DR,14409
0022,2006,MB,52530
0022,2007,DR,28001
0022,2007,MB,47907
0022,2008,DR,35261
0022,2008,MB,NA
0022,2009,DR,37785
0022,2009,MB,69113
0022,2010,DR,49821
0022,2010,MB,76710
0022,2011,DR,51253
0022,2011,MB,85029
0022,2012,DR,51792
0022,2012,MB,79575
0022,2013,DR,47470
0022,2013,MB,90075
0022,2014,DR,36919
0022,2014,MB,89816
0022,2015,DR,NA
0022,2015,MB,NA
0023,2006,MO,370558
