"","GEOID.msa","name","year","mode","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"5625","38300","Pittsburgh, PA",2014,"DT",12066790,0,0,223668,4713477,NA,21.07354,0.3906156
"5626","38300","Pittsburgh, PA",2014,"IP",1734210,19090,8202,716903,1028345,2.327481,1.434427,0.5929761
"5627","38300","Pittsburgh, PA",2014,"LR",106236976,1334684,104951,7937544,11385832,12.71721,1.434428,0.1071739
"5628","38300","Pittsburgh, PA",2014,"MB",588834092,0,0,55424147,80359755,NA,1.449905,0.1364727
"5629","38300","Pittsburgh, PA",2014,"VP",2752584,0,0,269142,957059,NA,3.555963,0.3476947
"5630","38300","Pittsburgh, PA",2015,"DR",50407086,10519231,714052,1710207,11590075,14.73174,6.777001,0.2299295
"5631","38300","Pittsburgh, PA",2015,"IP",630365,19602,8392,793419,1142597,2.335796,1.440093,1.812596
"5632","38300","Pittsburgh, PA",2015,"LR",51745053,2136358,168181,8047976,11589838,12.70273,1.440094,0.2239796
"5633","38300","Pittsburgh, PA",2015,"MB",274672758,23456249,1712084,56845134,82809249,13.70041,1.456752,0.3014833
"5634","38300","Pittsburgh, PA",2015,"VP",1261382,922472,24411,245178,867931,37.78919,3.540004,0.6880794
"5635","38340","Pittsfield, MA",2006,"DR",888377,359064,39118,57692,298148,9.178997,5.167926,0.3356098
"5636","38340","Pittsfield, MA",2006,"MB",3964779,821634,43468,495788,580058,18.90204,1.169972,0.1463027
"5637","38340","Pittsfield, MA",2007,"DR",812293,312472,37820,53799,226289,8.262084,4.206193,0.2785805
"5638","38340","Pittsfield, MA",2007,"MB",4232307,829781,43626,489211,666889,19.02033,1.363193,0.157571
"5639","38340","Pittsfield, MA",2008,"DR",2078138,318727,38556,55152,310339,8.266599,5.626976,0.1493351
"5640","38340","Pittsfield, MA",2008,"MB",4119997,831954,43513,496277,667578,19.11967,1.345172,0.1620336
"5641","38340","Pittsfield, MA",2009,"DR",2036877,409977,49594,95018,284758,8.266665,2.996885,0.1398013
"5642","38340","Pittsfield, MA",2009,"MB",4520436,822883,39818,505566,756253,20.66611,1.495854,0.1672965
"5643","38340","Pittsfield, MA",2010,"DR",1428716,374272,42526,35679,450436,8.801016,12.62468,0.3152733
"5644","38340","Pittsfield, MA",2010,"DT",101266,4570,278,4225,21727,16.43885,5.142485,0.2145537
"5645","38340","Pittsfield, MA",2010,"MB",4270035,820732,39715,510526,724891,20.66554,1.41989,0.1697623
"5646","38340","Pittsfield, MA",2011,"DR",2176131,403957,46474,86783,369064,8.692107,4.252722,0.1695964
"5647","38340","Pittsfield, MA",2011,"DT",21614,4166,354,3707,13453,11.76836,3.62908,0.6224207
"5648","38340","Pittsfield, MA",2011,"MB",4842198,848118,49946,517013,713150,16.9807,1.379366,0.1472782
"5649","38340","Pittsfield, MA",2012,"DR",2277687,375835,48570,76636,322124,7.738007,4.203299,0.1414259
"5650","38340","Pittsfield, MA",2012,"DT",32036,3603,232,1832,9910,15.53017,5.409389,0.3093395
"5651","38340","Pittsfield, MA",2012,"MB",8352852,815318,48034,559520,775523,16.97377,1.386051,0.09284529
"5652","38340","Pittsfield, MA",2013,"DR",3576485,485153,48777,82207,316736,9.946348,3.852908,0.0885607
"5653","38340","Pittsfield, MA",2013,"MB",9029470,817560,48318,549521,792765,16.9204,1.442647,0.08779751
"5654","38340","Pittsfield, MA",2014,"DR",2401257,0,0,82520,127281,NA,1.542426,0.05300599
"5655","38340","Pittsfield, MA",2014,"MB",9550708,0,0,573043,769130,NA,1.342185,0.0805312
"5656","38340","Pittsfield, MA",2015,"DR",2036877,275493,24968,25301,143265,11.03384,5.662424,0.07033562
"5657","38340","Pittsfield, MA",2015,"MB",4520436,884101,50812,574418,806200,17.39945,1.403508,0.1783456
"5658","38860","Portland-South Portland, ME",2006,"CR",7245190,207028,4380,230644,3054734,47.26667,13.24437,0.4216223
"5659","38860","Portland-South Portland, ME",2006,"DR",2323497,579935,54318,164426,1704858,10.67666,10.36854,0.7337466
"5660","38860","Portland-South Portland, ME",2006,"FB",3199750,70420,14866,869694,1471949,4.736984,1.692491,0.46002
"5661","38860","Portland-South Portland, ME",2006,"MB",5055080,824825,68748,1379444,1316819,11.9978,0.9546013,0.2604942
"5662","38860","Portland-South Portland, ME",2007,"CR",11245867,332880,11886,340728,4565294,28.00606,13.39865,0.405953
"5663","38860","Portland-South Portland, ME",2007,"DR",2238260,704299,54641,146050,1573990,12.88957,10.77706,0.7032204
"5664","38860","Portland-South Portland, ME",2007,"FB",4165130,68326,12479,910473,1977897,5.475278,2.172384,0.4748704
"5665","38860","Portland-South Portland, ME",2007,"MB",5388900,833073,69592,1429809,1334131,11.97082,0.9330834,0.2475702
"5666","38860","Portland-South Portland, ME",2008,"CR",12914188,418704,11965,441726,6089045,34.99407,13.78467,0.4715004
