ntdid,year,mode,revenue_miles,revenue_hours,upt
2003,2006,DR,555553,40626,108414
2003,2006,MB,1392882,113877,2853372
2004,2006,DR,911603,53100,83556
2004,2006,LR,379314,34625,5631864
2004,2006,MB,8904490,742145,18042628
2005,2006,DR,260132,14559,57896
2005,2006,MB,796642,40016,543250
2006,2006,DR,27208,5422,24394
2006,2006,MB,226426,24579,473209
2007,2006,DR,3307849,216932,352589
2007,2006,MB,10103473,810772,32159786
2008,2006,DR,21932434,1815981,2103497
2008,2006,HR,38077341,2080071,1874980539
2008,2006,MB,101520477,13036332,926379881
2009,2006,MB,198140,15931,368118
2010,2006,DR,386855,19812,94961
2010,2006,MB,1041266,49896,663005
2018,2006,DR,705727,63467,110466
2018,2006,MB,3623051,298133,9562226
2071,2006,DR,93906,7897,20230
2071,2006,MB,321733,22163,241355
2072,2006,DR,3385183,181002,254571
2072,2006,MB,7164032,376779,5751972
2075,2006,HR,1075353,37081,9376942
2076,2006,DR,2069520,129944,196685
2076,2006,MB,8223496,729749,28921545
2078,2006,CR,8039901,230646,76527572
2078,2006,FB,49454,4718,195103
2078,2006,MB,99306,18642,348013
2080,2006,CR,9585094,325980,75394695
2080,2006,DR,9752353,597694,1264368
2080,2006,LR,2868138,197932,15767076
2080,2006,MB,76960444,5287866,162266484
2080,2006,VP,3383309,87930,601655
2082,2006,FB,180305,17337,20004280
2084,2006,MB,2446126,136956,2703749
2085,2006,MB,318732,18905,155345
2086,2006,DR,558655,33035,67093
2089,2006,MB,54038,4464,20688
2096,2006,DR,120040,7231,13278
2096,2006,MB,413682,20029,144229
2098,2006,FB,175582,21252,2085647
2098,2006,HR,1739493,94201,76197398
2099,2006,HR,578165,27544,3809460
2100,2006,CR,7447730,251287,9952e4
2113,2006,DR,1516386,75484,194352
2113,2006,MB,5631082,445913,12415288
2116,2006,MB,630996,32819,339659
2120,2006,DR,15762,2245,3230
2120,2006,MB,293091,17980,312448
2122,2006,MB,7959952,313115,3804462
2126,2006,MB,8566982,191477,3286546
2128,2006,MB,5913220,295405,3596225
2132,2006,MB,977738,55912,3672230
2135,2006,MB,1103289,47129,571803
2137,2006,MB,708988,19334,289760
2145,2006,DR,328354,24398,58275
2145,2006,MB,1546926,119651,3004884
2147,2006,MB,719772,85878,565994
2148,2006,DR,69235,5736,15196
2148,2006,MB,213805,13978,100229
2149,2006,MB,4291866,183862,4180374
2155,2006,DR,624207,36890,126279
2158,2006,DR,242241,21754,20804
2158,2006,MB,387751,11526,43929
2159,2006,DR,7757848,765840,952945
2160,2006,MB,904198,67460,596010
2161,2006,MB,1688629,99805,2122780
2163,2006,MB,3032510,87333,1930618
2165,2006,MB,1098276,77334,650845
2166,2006,MB,2314566,230878,12654098
2168,2006,MB,2161180,231461,6358984
2169,2006,MB,3382200,69116,955835
2171,2006,MB,1261330,100683,876253
2172,2006,MB,519216,37074,504657
2173,2006,DR,7341970,611594,787473
2175,2006,MB,214998,14713,569672
2177,2006,MB,1970907,41296,472172
2178,2006,MB,775231,37416,209241
2179,2006,MB,370392,13426,37950
2180,2006,MB,610118,28448,693076
2182,2006,DR,11425,1556,3953
2183,2006,DR,84475,8568,26611
2185,2006,DR,147571,10757,24087
2185,2006,MB,929568,73129,1106054
2187,2006,MB,87677,7899,116710
2188,2006,MB,23994454,2842945,99169399
3001,2006,DR,360356,26890,27798
3001,2006,MB,2385706,137660,2162056
3002,2006,DR,325054,22101,44356
3002,2006,MB,782886,54235,732344
3006,2006,DR,1717269,108820,211638
3006,2006,MB,4744467,428640,13449342
3006,2006,VP,1300988,25146,163576
3007,2006,DR,513685,42212,45048
3007,2006,MB,1497305,103672,2023169
3008,2006,DR,88941,5176,12196
3008,2006,MB,951570,63789,1025014
3009,2006,DR,44072,4716,8968
3009,2006,MB,411616,38532,491404
3010,2006,DR,3785349,191338,475522
3010,2006,MB,2565512,193547,5100872
3011,2006,DR,27218,2433,9289
3011,2006,MB,554446,41550,674533
3012,2006,DR,34466,2185,4464
3012,2006,IP,2137,842,109222
3012,2006,MB,672334,61172,1182835
3013,2006,DR,1221930,99729,230194
3013,2006,MB,1346746,121250,2446426
3014,2006,DR,1352347,85636,195171
3014,2006,MB,1616135,126621,2282175
3015,2006,DR,128810,6391,19159
3015,2006,MB,949784,67212,2702668
3018,2006,DR,1631801,109947,372219
3018,2006,MB,1480075,103098,1976623
3019,2006,CR,4914515,182654,34150997
3019,2006,DR,9038718,936194,1732053
3019,2006,HR,3040529,155656,84616355
3019,2006,LR,3552945,378261,25445460
3019,2006,MB,39400311,3874837,177105684
3022,2006,IP,34734,12370,1032491
3022,2006,LR,1451964,106847,7510637
3022,2006,MB,27166199,2055688,59955660
3023,2006,DR,501203,34415,113536
3023,2006,MB,985563,46033,634878
3024,2006,DR,978994,75991,184040
3024,2006,MB,1464764,131646,2600567
3025,2006,DR,29900,2555,7155
3025,2006,MB,1003540,83889,1832552
3026,2006,DR,17431,872,2418
3026,2006,MB,797429,48906,1233777
3027,2006,DR,1085656,69291,195651
3027,2006,MB,1149251,95243,1493017
3030,2006,DR,12135331,1015815,1340201
3030,2006,HR,12893132,509875,274767272
3030,2006,MB,38869844,3657092,132880812
3034,2006,CR,1031734,26312,7274762
3034,2006,DR,9073915,642584,1055875
3034,2006,HR,973257,39099,12886690
3034,2006,LR,1147773,61691,5927065
3034,2006,MB,23877900,1842957,79879751
3035,2006,DR,33103,2043,5018
3035,2006,MB,701830,56049,488848
3036,2006,DR,446345,22201,79466
3036,2006,MB,898969,78810,1451940
3040,2006,MB,889471,67866,1497282
3041,2006,DR,377563,23920,27169
3041,2006,MB,214882,15553,289672
3042,2006,DR,67905,5057,10481
3042,2006,MB,412768,26573,319201
3044,2006,DR,50131,2045,4914
3044,2006,MB,778161,39518,337637
3048,2006,DR,614258,47130,71116
3048,2006,MB,1011928,73211,727335
3050,2006,DR,591396,49972,107744
3050,2006,MB,125553,9414,40795
3051,2006,DR,1244415,94527,82961
3051,2006,MB,12439482,952448,27293408
3054,2006,DR,121522,6111,36651
3054,2006,MB,1067806,107371,6096573
3055,2006,DR,490017,29288,89190
3055,2006,MB,103275,9663,112453
3057,2006,CR,240193,4592,274639
3058,2006,MB,443811,33994,1093926
3061,2006,DR,38,8,4
3061,2006,MB,638561,46152,339070
3067,2006,DR,11182724,747007,1760563
3068,2006,MB,7144546,467759,9529056
3069,2006,DR,59673,3723,17297
3069,2006,MB,262378,18423,215365
3070,2006,MB,2614704,132017,2451990
3071,2006,MB,1225973,126679,3556486
3072,2006,DR,383140,20696,71533
3072,2006,MB,669413,60316,579773
3073,2006,CR,334497,10392,3569664
3074,2006,DR,326e3,19946,40628
3074,2006,MB,509610,24478,263815
3075,2006,DR,7623670,438059,791735
3075,2006,MB,5771674,412358,8470153
3076,2006,DR,44815,3819,6405
3076,2006,MB,752186,59666,2760989
3078,2006,VP,563145,18194,177484
3079,2006,MB,832264,48734,354472
3081,2006,MB,697674,24581,602333
3083,2006,DR,2380347,149971,232870
3083,2006,FB,12208,6119,352982
3083,2006,MB,10815515,795327,20467489
3083,2006,VP,647417,19580,171677
3085,2006,DR,556360,36183,183998
3085,2006,MB,2516976,189528,2837266
3087,2006,DR,838835,46062,140621
3087,2006,MB,449623,24500,106502
3088,2006,DR,305489,9478,31099
3088,2006,MB,879193,47012,402739
3089,2006,DR,65786,4180,15349
3089,2006,MB,711970,44191,495322
3091,2006,DR,64154,6422,15057
3091,2006,MB,740150,74019,2482523
3092,2006,DR,669387,58931,140788
3092,2006,MB,71801,5663,12057
3094,2006,DR,69097,7468,22182
3094,2006,MB,429693,42458,1358669
3095,2006,DR,360356,22386,67721
3095,2006,MB,395053,25200,232457
3096,2006,DR,975449,46080,72345
3096,2006,MB,1542744,66645,537140
4001,2006,DR,475822,42395,61547
4001,2006,IP,18747,6544,445301
4001,2006,MB,1912662,130663,2580793
4002,2006,DR,520909,34602,56480
4002,2006,MB,2692790,220868,3388099
4003,2006,DR,1851188,116347,245712
4003,2006,LR,394837,49804,959269
4003,2006,MB,6432546,415478,10519005
4004,2006,DR,1806291,114567,202057
4004,2006,MB,4245633,300581,7708840
4005,2006,DR,198237,10799,24244
4005,2006,MB,840690,58223,1149337
4006,2006,DR,11005,649,2158
4006,2006,MB,1198753,88991,1411221
4007,2006,DR,125990,8699,112685
4007,2006,MB,2116629,165178,3937310
4008,2006,DR,2313700,131925,300354
4008,2006,LR,21677,5280,175329
4008,2006,MB,10926679,798013,20407190
4008,2006,VP,1813670,35102,293928
4009,2006,DR,367149,19305,52986
4009,2006,MB,815993,58759,1407465
4011,2006,DR,116346,12414,37090
4011,2006,MB,401634,29850,722476
4012,2006,DR,593822,40372,120393
4012,2006,MB,1433380,119564,2861769
4014,2006,DR,219976,14500,41636
4014,2006,MB,634655,51203,363010
4015,2006,DR,301933,22859,34574
4015,2006,MB,940188,55546,767524
4017,2006,DR,815012,60741,114668
4017,2006,MB,1495681,122276,3794115
4018,2006,DR,4018524,230561,354380
4018,2006,MB,7775217,604942,14669924
4019,2006,DR,809339,45798,96257
4019,2006,MB,2835059,191335,3542558
4021,2006,DR,137504,9477,23583
4021,2006,MB,536897,32040,711992
4022,2006,DR,3973674,221711,363633
4022,2006,HR,4019532,156938,69209027
4022,2006,MB,22233205,1811834,68830652
4023,2006,DR,106394,12686,16748
4023,2006,MB,645044,48928,938300
4024,2006,DR,158985,10574,14773
4024,2006,MB,944995,64066,1004397
4025,2006,DR,491877,37970,72353
4025,2006,FB,16572,10498,373810
4025,2006,MB,2512972,185917,3561238
4026,2006,DR,315867,20172,46927
4026,2006,MB,1021023,85127,1692093
4027,2006,DR,3380637,112688,258714
4027,2006,MB,8609598,589159,11141685
4028,2006,DR,1170027,81631,149305
4028,2006,MB,2961160,179724,2891968
4028,2006,VP,127684,2935,22623
4029,2006,DR,7364390,565186,791982
4029,2006,FB,32406,7842,159429
4029,2006,MB,16013518,1187113,39686573
4030,2006,DR,221945,15882,38186
4030,2006,MB,2679969,236312,8562284
4031,2006,DR,466154,32159,116397
4031,2006,MB,1472095,90512,1549324
4032,2006,DR,2729267,191726,334810
4032,2006,MB,2636071,163277,3061944
4032,2006,VP,549151,12890,103906
4034,2006,AG,911828,89395,8221687
4034,2006,HR,1741985,60669,17234962
4034,2006,MB,36825387,2949999,81637435
4035,2006,DR,6233829,390971,524524
4035,2006,MB,13593266,965844,24624906
4035,2006,VP,971465,25861,176887
4036,2006,DR,347668,27653,53754
4036,2006,MB,1749960,147986,4333213
4037,2006,DR,9158580,593177,660150
4037,2006,MB,6858765,421683,9310413
4038,2006,DR,380015,24350,57354
4038,2006,MB,1563747,104871,1182089
4040,2006,AG,259604,19581,635732
4040,2006,DR,6160867,321799,543978
4040,2006,MB,9897558,609745,10489396
4041,2006,DR,726952,46345,63165
4041,2006,LR,87496,18016,520270
4041,2006,MB,6875484,556007,11914287
4041,2006,VP,610157,14417,75977
4042,2006,DR,1156909,72157,136876
4042,2006,MB,2746996,231901,3541683
4043,2006,DR,681453,46939,90495
4043,2006,MB,1206316,96771,855268
4044,2006,DR,380600,23447,38319
4044,2006,MB,1065028,66128,869680
4045,2006,DR,124422,9496,17640
4045,2006,MB,233633,22137,123984
4046,2006,DR,1513310,103433,209106
4046,2006,MB,1663841,113787,1902849
4046,2006,VP,35650,603,7460
4047,2006,DR,74375,5968,10530
4047,2006,MB,739971,56131,1465942
4051,2006,DR,377849,27888,77362
4051,2006,MB,1824976,145145,5874247
4053,2006,DR,56886,4943,8039
4053,2006,MB,738977,47421,896315
4054,2006,DR,139284,18742,33742
4054,2006,MB,328445,23552,427562
4056,2006,DR,3193943,125666,593054
4056,2006,MB,157870,11512,49140
4057,2006,DR,178780,15244,33536
4057,2006,MB,556997,41119,481447
4058,2006,DR,104550,7905,21376
4058,2006,MB,479665,37485,589804
4063,2006,DR,1681570,124178,430896
4063,2006,MB,993194,47534,913132
4063,2006,VP,1016557,20482,142650
4068,2006,DR,631470,40098,210569
4070,2006,FB,261654,19164,1928526
4071,2006,DR,432499,36817,96535
4071,2006,MB,613844,34904,292568
4073,2006,DR,227198,11574,47836
4073,2006,MB,98272,7620,34503
4074,2006,DR,360898,21372,60887
4074,2006,MB,891926,53447,860645
4077,2006,CR,677891,17601,2674552
4077,2006,MB,265001,28457,233868
4078,2006,DR,492388,37489,68747
4078,2006,MB,2825590,152938,4246380
4082,2006,VP,569771,17987,114725
4085,2006,MB,420927,24096,309232
4086,2006,DR,808756,83616,124696
4086,2006,MB,6769620,702884,22628112
4087,2006,DR,655659,39705,81395
4087,2006,MB,2319403,166272,4448972
4088,2006,DR,1718912,119392,243724
4092,2006,DR,295325,21304,33268
4092,2006,MB,798736,47583,630798
4093,2006,DR,1195296,70128,175309
4093,2006,MB,1337904,106656,3030016
4094,2006,HR,817657,50764,6895972
4094,2006,MB,738746,128608,1586909
4097,2006,DR,386876,27061,100227
4097,2006,MB,201651,20207,61693
4100,2006,DR,153239,7977,17961
4100,2006,MB,551090,25061,235388
4100,2006,VP,26305,906,7564
4101,2006,MB,271258,21392,542021
4102,2006,DR,143205,7955,12265
4102,2006,MB,982016,66309,487831
4103,2006,DR,514815,34958,142903
4104,2006,DR,589620,51308,94812
4104,2006,MB,243941,22729,329312
4105,2006,PB,31982486,2522534,37957469
4108,2006,DR,172658,5678,10949
4108,2006,MB,1976007,89932,802570
4108,2006,VP,1056781,26312,415932
4110,2006,DR,537464,33547,64878
4110,2006,MB,2543301,198631,2698845
4111,2006,DR,355980,17728,176157
4113,2006,DR,492741,31655,106451
4113,2006,MB,25734,2353,20009
4120,2006,DR,60710,6656,11846
4120,2006,MB,373005,23992,317749
4127,2006,DR,32205,3201,11938
4127,2006,MB,745554,41153,562944
4128,2006,DR,716399,44774,91367
4128,2006,MB,416851,30508,108404
4129,2006,DR,529726,34799,70637
4130,2006,MB,1110649,76650,1059927
4133,2006,DR,851225,45934,117971
4134,2006,DR,13493393,907604,1546295
4135,2006,DR,274121,15407,18667
4135,2006,MB,2356808,154150,2780259
4135,2006,VP,902742,22039,183668
4138,2006,DR,61745,7493,7138
4138,2006,MB,2317326,131100,2012637
4140,2006,DR,689472,47477,69940
4140,2006,MB,870424,49479,1052536
4141,2006,DR,703284,39142,92110
4141,2006,MB,1691280,126654,2456659
4142,2006,MB,95643,6088,49081
4143,2006,DR,437943,23185,39662
4143,2006,MB,160990,9946,23354
4146,2006,DR,242048,9920,28272
4146,2006,MB,314464,17608,158224
4147,2006,MB,536619,54766,1769855
4148,2006,DR,509080,31616,142740
4152,2006,VP,2413894,46648,512146
4153,2006,VP,3242856,89352,658742
5001,2006,DR,727314,50899,125526
5001,2006,MB,1001914,63504,1009873
5002,2006,DR,521069,45728,72979
5002,2006,MB,1298905,79674,1702113
5003,2006,DR,111382,6662,15258
5003,2006,LR,21677,3013,52936
5003,2006,MB,1045174,70581,1608552
5004,2006,DR,446515,34498,67203
5004,2006,MB,743782,54833,1062190
5005,2006,DR,1690846,110671,272173
5005,2006,MB,4703901,365547,12034468
5006,2006,DR,69851,5950,14646
5006,2006,MB,1105241,85596,1519468
5008,2006,DR,4682016,338892,1033260
5008,2006,MB,17027436,1338403,47905017
5008,2006,VP,308484,7041,33985
5009,2006,DR,556155,32700,130993
5009,2006,MB,569041,38446,1007609
5010,2006,DR,1418107,107112,153292
5010,2006,MB,2647360,228469,5612044
5011,2006,DR,1240335,63372,158622
5011,2006,MB,2550480,160488,2003546
5012,2006,DR,2058816,118654,261449
5012,2006,MB,11016477,831841,25294117
5015,2006,DR,2977941,207626,450561
5015,2006,HR,1473804,65613,7161337
5015,2006,LR,869583,60721,3791322
5015,2006,MB,20377376,1647479,57795954
5016,2006,DR,2133227,107474,168899
5016,2006,MB,7157710,566343,14841320
5017,2006,DR,2772810,174995,298763
5017,2006,MB,5841196,382800,7857361
5017,2006,TB,1514567,134537,4539205
5019,2006,DR,48248,4287,12780
5019,2006,MB,210715,13952,240807
5020,2006,DR,36720,3315,9993
5020,2006,MB,270416,19987,401370
5021,2006,DR,927577,55607,156455
5021,2006,MB,652220,57888,1113663
5022,2006,DR,1155683,81928,108961
5022,2006,MB,3577682,248885,6136765
5024,2006,DR,169567,13824,24858
5024,2006,MB,1130788,97536,1516779
5025,2006,DR,168753,15579,23749
5025,2006,MB,1647541,125458,2692931
5026,2006,MB,298985,21235,344824
5027,2006,LR,1033467,67306,8957912
5027,2006,MB,23624821,1904630,64398737
5028,2006,DR,469997,36706,134748
5028,2006,MB,1008867,70991,1832885
5029,2006,DR,512422,31570,59827
5029,2006,MB,1001407,57967,518490
5030,2006,DR,162587,14602,26780
5030,2006,MB,457586,29466,517949
5031,2006,DR,3553494,210096,807748
5031,2006,MB,11775107,696572,10917739
5032,2006,DR,4742475,253910,730400
5032,2006,MB,2798210,157342,4584462
5033,2006,DR,2338614,156337,410997
